symbol,scenario,start,end,duration_minutes,mean_mrs,mean_wds,mean_ree_proxy
XAUUSD,TRANSITION,2026-01-01 18:20:00,2026-01-02 02:14:00,475,30.82,36.04,53.4
XAUUSD,WIDE_RANGE,2026-01-02 02:15:00,2026-01-02 02:22:00,8,22.04,46.08,45.78
XAUUSD,TRANSITION,2026-01-02 02:23:00,2026-01-02 02:23:00,1,19.45,48.47,43.61
XAUUSD,WIDE_RANGE,2026-01-02 02:24:00,2026-01-02 02:26:00,3,23.49,45.19,46.45
XAUUSD,TRANSITION,2026-01-02 02:27:00,2026-01-02 02:27:00,1,26.14,41.53,48.68
XAUUSD,WIDE_RANGE,2026-01-02 02:28:00,2026-01-02 02:28:00,1,24.16,50.24,44.61
XAUUSD,TRANSITION,2026-01-02 02:29:00,2026-01-02 07:53:00,325,30.62,37.37,51.44
XAUUSD,WIDE_RANGE,2026-01-02 07:54:00,2026-01-02 08:00:00,7,29.69,58.54,44.37
XAUUSD,TRANSITION,2026-01-02 08:01:00,2026-01-02 08:19:00,19,52.65,23.05,67.74
XAUUSD,WIDE_RANGE,2026-01-02 08:20:00,2026-01-02 08:20:00,1,15.39,43.35,44.39
XAUUSD,TRANSITION,2026-01-02 08:21:00,2026-01-02 08:32:00,12,46.81,32.46,62.04
XAUUSD,STRONG_TREND_DOWN,2026-01-02 08:33:00,2026-01-02 08:33:00,1,66.53,28.78,72.33
XAUUSD,TRANSITION,2026-01-02 08:34:00,2026-01-02 08:34:00,1,63.27,33.01,69.58
XAUUSD,STRONG_TREND_DOWN,2026-01-02 08:35:00,2026-01-02 08:38:00,4,68.03,30.75,72.86
XAUUSD,TRANSITION,2026-01-02 08:39:00,2026-01-02 08:45:00,7,53.96,37.76,65.13
XAUUSD,WIDE_RANGE,2026-01-02 08:46:00,2026-01-02 08:47:00,2,35.59,41.79,56.16
XAUUSD,TRANSITION,2026-01-02 08:48:00,2026-01-02 08:48:00,1,33.24,36.93,56.74
XAUUSD,WIDE_RANGE,2026-01-02 08:49:00,2026-01-02 08:53:00,5,22.0,42.39,49.71
XAUUSD,TRANSITION,2026-01-02 08:54:00,2026-01-02 08:54:00,1,28.84,31.51,56.56
XAUUSD,WIDE_RANGE,2026-01-02 08:55:00,2026-01-02 09:07:00,13,24.64,42.31,50.95
XAUUSD,TRANSITION,2026-01-02 09:08:00,2026-01-02 09:47:00,40,30.1,35.77,55.17
XAUUSD,WIDE_RANGE,2026-01-02 09:48:00,2026-01-02 09:57:00,10,27.43,45.8,49.02
XAUUSD,TRANSITION,2026-01-02 09:58:00,2026-01-02 12:22:00,145,30.89,36.82,52.67
XAUUSD,TIGHT_RANGE,2026-01-02 12:23:00,2026-01-02 12:23:00,1,22.21,46.1,45.42
XAUUSD,TRANSITION,2026-01-02 12:24:00,2026-01-02 12:50:00,27,22.64,40.05,47.59
XAUUSD,TIGHT_RANGE,2026-01-02 12:51:00,2026-01-02 12:52:00,2,20.04,45.85,44.33
XAUUSD,TRANSITION,2026-01-02 12:53:00,2026-01-02 16:25:00,213,29.54,37.49,51.54
XAUUSD,LOW_LIQUIDITY,2026-01-02 16:26:00,2026-01-02 16:26:00,1,24.93,35.53,49.89
XAUUSD,TIGHT_RANGE,2026-01-02 16:27:00,2026-01-02 16:29:00,3,16.18,44.77,42.77
XAUUSD,LOW_LIQUIDITY,2026-01-02 16:30:00,2026-01-02 16:30:00,1,27.77,24.43,55.02
XAUUSD,TIGHT_RANGE,2026-01-02 16:31:00,2026-01-02 16:34:00,4,19.06,44.39,44.25
XAUUSD,LOW_LIQUIDITY,2026-01-02 16:35:00,2026-01-02 16:35:00,1,32.42,31.26,54.84
XAUUSD,TIGHT_RANGE,2026-01-02 16:36:00,2026-01-02 16:46:00,11,17.16,43.13,43.85
XAUUSD,LOW_LIQUIDITY,2026-01-02 16:47:00,2026-01-02 16:48:00,2,34.98,27.14,57.52
XAUUSD,TIGHT_RANGE,2026-01-02 16:49:00,2026-01-02 16:49:00,1,28.79,32.87,52.72
XAUUSD,LOW_LIQUIDITY,2026-01-02 16:50:00,2026-01-02 16:50:00,1,37.21,24.65,59.41
XAUUSD,TRANSITION,2026-01-02 16:51:00,2026-01-02 16:59:00,9,37.54,29.88,57.03
XAUUSD,STRONG_TREND_UP,2026-01-04 18:00:00,2026-01-04 18:01:00,2,75.03,25.49,72.23
XAUUSD,TRANSITION,2026-01-04 18:02:00,2026-01-04 18:03:00,2,59.19,37.72,57.7
XAUUSD,STRONG_TREND_UP,2026-01-04 18:04:00,2026-01-04 18:04:00,1,65.99,39.14,58.06
XAUUSD,TRANSITION,2026-01-04 18:05:00,2026-01-04 18:29:00,25,49.22,49.58,44.09
XAUUSD,WIDE_RANGE,2026-01-04 18:30:00,2026-01-04 18:31:00,2,21.59,60.8,36.36
XAUUSD,TRANSITION,2026-01-04 18:32:00,2026-01-04 18:36:00,5,35.49,38.39,51.5
XAUUSD,WIDE_RANGE,2026-01-04 18:37:00,2026-01-04 18:41:00,5,29.04,50.78,45.51
XAUUSD,TRANSITION,2026-01-04 18:42:00,2026-01-04 18:42:00,1,32.42,39.14,51.92
XAUUSD,WIDE_RANGE,2026-01-04 18:43:00,2026-01-04 18:49:00,7,25.25,44.56,48.12
XAUUSD,TRANSITION,2026-01-04 18:50:00,2026-01-04 20:03:00,74,38.19,31.61,60.6
XAUUSD,STRONG_TREND_UP,2026-01-04 20:04:00,2026-01-04 20:04:00,1,66.44,28.77,74.42
XAUUSD,TRANSITION,2026-01-04 20:05:00,2026-01-04 20:09:00,5,47.0,37.8,61.1
XAUUSD,WIDE_RANGE,2026-01-04 20:10:00,2026-01-04 20:10:00,1,35.0,52.21,49.54
XAUUSD,TRANSITION,2026-01-04 20:11:00,2026-01-04 20:11:00,1,39.76,51.14,51.78
XAUUSD,WIDE_RANGE,2026-01-04 20:12:00,2026-01-04 20:18:00,7,33.71,58.12,45.63
XAUUSD,WHIPSAW,2026-01-04 20:19:00,2026-01-04 20:21:00,3,25.17,71.38,35.92
XAUUSD,WIDE_RANGE,2026-01-04 20:22:00,2026-01-04 20:22:00,1,33.71,59.89,43.41
