symbol,atr_multiplier,spread_multiplier,slippage_units,observations,mean_stressed_mrs,mean_stressed_wds,freeze_minutes,freeze_rate,watch_minutes,watch_rate
GBPJPY,1.0,1.0,0,30118,30.42,38.01,133,0.00442,605,0.02009
GBPJPY,1.0,1.0,1,30118,30.42,46.01,470,0.01561,605,0.02009
GBPJPY,1.0,1.0,2,30118,30.42,54.01,1858,0.06169,605,0.02009
GBPJPY,1.0,2.0,0,30118,28.42,50.01,890,0.02955,434,0.01441
GBPJPY,1.0,2.0,1,30118,28.42,58.01,3839,0.12747,432,0.01434
GBPJPY,1.0,2.0,2,30118,28.42,66.0,10671,0.35431,425,0.01411
GBPJPY,1.0,3.0,0,30118,26.42,62.01,6854,0.22757,305,0.01013
GBPJPY,1.0,3.0,1,30118,26.42,69.99,14817,0.49196,287,0.00953
GBPJPY,1.0,3.0,2,30118,26.42,77.89,22840,0.75835,247,0.0082
GBPJPY,1.5,1.0,0,30118,29.42,43.01,303,0.01006,528,0.01753
GBPJPY,1.5,1.0,1,30118,29.42,51.01,1047,0.03476,528,0.01753
GBPJPY,1.5,1.0,2,30118,29.42,59.01,4466,0.14828,526,0.01746
GBPJPY,1.5,2.0,0,30118,27.42,55.01,2229,0.07401,361,0.01199
GBPJPY,1.5,2.0,1,30118,27.42,63.01,7777,0.25822,359,0.01192
GBPJPY,1.5,2.0,2,30118,27.42,70.98,15856,0.52646,333,0.01106
GBPJPY,1.5,3.0,0,30118,25.42,67.0,11673,0.38758,246,0.00817
GBPJPY,1.5,3.0,1,30118,25.42,74.94,20011,0.66442,220,0.0073
GBPJPY,1.5,3.0,2,30118,25.42,82.72,26812,0.89023,181,0.00601
GBPJPY,2.0,1.0,0,30118,28.42,48.01,627,0.02082,434,0.01441
GBPJPY,2.0,1.0,1,30118,28.42,56.01,2678,0.08892,434,0.01441
GBPJPY,2.0,1.0,2,30118,28.42,64.01,8717,0.28943,428,0.01421
GBPJPY,2.0,2.0,0,30118,26.42,60.01,5189,0.17229,305,0.01013
GBPJPY,2.0,2.0,1,30118,26.42,68.0,12706,0.42187,298,0.00989
GBPJPY,2.0,2.0,2,30118,26.42,75.92,20986,0.69679,258,0.00857
GBPJPY,2.0,3.0,0,30118,24.42,71.97,16920,0.56179,197,0.00654
GBPJPY,2.0,3.0,1,30118,24.42,79.84,24598,0.81672,173,0.00574
GBPJPY,2.0,3.0,2,30118,24.42,87.3,29193,0.96929,83,0.00276
USDJPY,1.0,1.0,0,30109,31.3,37.76,120,0.00399,842,0.02797
USDJPY,1.0,1.0,1,30109,31.3,45.76,505,0.01677,842,0.02797
USDJPY,1.0,1.0,2,30109,31.3,53.76,2057,0.06832,842,0.02797
USDJPY,1.0,2.0,0,30109,29.3,49.76,1001,0.03325,637,0.02116
USDJPY,1.0,2.0,1,30109,29.3,57.76,3926,0.13039,637,0.02116
USDJPY,1.0,2.0,2,30109,29.3,65.74,10334,0.34322,618,0.02053
USDJPY,1.0,3.0,0,30109,27.3,61.75,6771,0.22488,469,0.01558
USDJPY,1.0,3.0,1,30109,27.3,69.73,14370,0.47727,428,0.01422
USDJPY,1.0,3.0,2,30109,27.3,77.63,22416,0.7445,336,0.01116
USDJPY,1.5,1.0,0,30109,30.3,42.76,288,0.00957,748,0.02484
USDJPY,1.5,1.0,1,30109,30.3,50.76,1176,0.03906,748,0.02484
USDJPY,1.5,1.0,2,30109,30.3,58.76,4564,0.15158,746,0.02478
USDJPY,1.5,2.0,0,30109,28.3,54.76,2427,0.08061,546,0.01813
USDJPY,1.5,2.0,1,30109,28.3,62.75,7653,0.25418,541,0.01797
USDJPY,1.5,2.0,2,30109,28.3,70.72,15413,0.51191,483,0.01604
USDJPY,1.5,3.0,0,30109,26.3,66.74,11336,0.3765,386,0.01282
USDJPY,1.5,3.0,1,30109,26.3,74.68,19432,0.64539,319,0.01059
USDJPY,1.5,3.0,2,30109,26.3,82.44,26604,0.88359,219,0.00727
USDJPY,2.0,1.0,0,30109,29.3,47.76,694,0.02305,637,0.02116
USDJPY,2.0,1.0,1,30109,29.3,55.76,2883,0.09575,637,0.02116
USDJPY,2.0,1.0,2,30109,29.3,63.75,8523,0.28307,627,0.02082
USDJPY,2.0,2.0,0,30109,27.3,59.76,5280,0.17536,470,0.01561
USDJPY,2.0,2.0,1,30109,27.3,67.74,12325,0.40935,439,0.01458
USDJPY,2.0,2.0,2,30109,27.3,75.67,20434,0.67867,363,0.01206
USDJPY,2.0,3.0,0,30109,25.3,71.71,16441,0.54605,298,0.0099
USDJPY,2.0,3.0,1,30109,25.3,79.57,24282,0.80647,229,0.00761
USDJPY,2.0,3.0,2,30109,25.3,86.99,29015,0.96367,108,0.00359
XAUUSD,1.0,1.0,0,28808,30.81,37.6,42,0.00146,697,0.02419
XAUUSD,1.0,1.0,1,28808,30.81,45.6,221,0.00767,697,0.02419
XAUUSD,1.0,1.0,2,28808,30.81,53.6,1359,0.04717,697,0.02419
XAUUSD,1.0,2.0,0,28808,28.81,49.6,511,0.01774,515,0.01788
XAUUSD,1.0,2.0,1,28808,28.81,57.6,3141,0.10903,515,0.01788
XAUUSD,1.0,2.0,2,28808,28.81,65.6,9856,0.34213,505,0.01753
XAUUSD,1.0,3.0,0,28808,26.81,61.6,6112,0.21216,392,0.01361
XAUUSD,1.0,3.0,1,28808,26.81,69.59,13824,0.47987,369,0.01281
XAUUSD,1.0,3.0,2,28808,26.81,77.55,21829,0.75774,291,0.0101
XAUUSD,1.5,1.0,0,28808,29.81,42.6,110,0.00382,585,0.02031
XAUUSD,1.5,1.0,1,28808,29.81,50.6,662,0.02298,585,0.02031
XAUUSD,1.5,1.0,2,28808,29.81,58.6,3748,0.1301,585,0.02031
XAUUSD,1.5,2.0,0,28808,27.81,54.6,1683,0.05842,461,0.016
XAUUSD,1.5,2.0,1,28808,27.81,62.6,6986,0.2425,460,0.01597
XAUUSD,1.5,2.0,2,28808,27.81,70.59,14875,0.51635,426,0.01479
XAUUSD,1.5,3.0,0,28808,25.81,66.6,10805,0.37507,322,0.01118
XAUUSD,1.5,3.0,1,28808,25.81,74.58,18950,0.6578,277,0.00962
XAUUSD,1.5,3.0,2,28808,25.81,82.44,25663,0.89083,180,0.00625
XAUUSD,2.0,1.0,0,28808,28.81,47.6,345,0.01198,515,0.01788
XAUUSD,2.0,1.0,1,28808,28.81,55.6,2110,0.07324,515,0.01788
XAUUSD,2.0,1.0,2,28808,28.81,63.6,7919,0.27489,513,0.01781
XAUUSD,2.0,2.0,0,28808,26.81,59.6,4517,0.1568,392,0.01361
XAUUSD,2.0,2.0,1,28808,26.81,67.6,11745,0.4077,378,0.01312
XAUUSD,2.0,2.0,2,28808,26.81,75.57,19943,0.69227,316,0.01097
XAUUSD,2.0,3.0,0,28808,24.81,71.59,15921,0.55266,254,0.00882
XAUUSD,2.0,3.0,1,28808,24.81,79.52,23543,0.81724,177,0.00614
XAUUSD,2.0,3.0,2,28808,24.81,87.1,27954,0.97036,63,0.00219
