symbol,split,observations,mrs_threshold,ree_threshold,wds_freeze,wds_unfreeze,eligible_minutes,eligible_rate,freeze_minutes,freeze_rate,unfreeze_minutes,unfreeze_rate
GBPJPY,training,21082,50,50,65,35,916,0.04345,253,0.012,8638,0.40973
GBPJPY,training,21082,50,50,70,40,916,0.04345,114,0.00541,12301,0.58348
GBPJPY,training,21082,50,50,75,45,916,0.04345,29,0.00138,15675,0.74353
GBPJPY,training,21082,50,50,80,50,916,0.04345,5,0.00024,18355,0.87065
GBPJPY,training,21082,50,55,65,35,904,0.04288,253,0.012,8638,0.40973
GBPJPY,training,21082,50,55,70,40,904,0.04288,114,0.00541,12301,0.58348
GBPJPY,training,21082,50,55,75,45,904,0.04288,29,0.00138,15675,0.74353
GBPJPY,training,21082,50,55,80,50,904,0.04288,5,0.00024,18355,0.87065
GBPJPY,training,21082,50,60,65,35,871,0.04131,253,0.012,8638,0.40973
GBPJPY,training,21082,50,60,70,40,871,0.04131,114,0.00541,12301,0.58348
GBPJPY,training,21082,50,60,75,45,871,0.04131,29,0.00138,15675,0.74353
GBPJPY,training,21082,50,60,80,50,871,0.04131,5,0.00024,18355,0.87065
GBPJPY,training,21082,55,50,65,35,433,0.02054,253,0.012,8638,0.40973
GBPJPY,training,21082,55,50,70,40,433,0.02054,114,0.00541,12301,0.58348
GBPJPY,training,21082,55,50,75,45,433,0.02054,29,0.00138,15675,0.74353
GBPJPY,training,21082,55,50,80,50,433,0.02054,5,0.00024,18355,0.87065
GBPJPY,training,21082,55,55,65,35,430,0.0204,253,0.012,8638,0.40973
GBPJPY,training,21082,55,55,70,40,430,0.0204,114,0.00541,12301,0.58348
GBPJPY,training,21082,55,55,75,45,430,0.0204,29,0.00138,15675,0.74353
GBPJPY,training,21082,55,55,80,50,430,0.0204,5,0.00024,18355,0.87065
GBPJPY,training,21082,55,60,65,35,427,0.02025,253,0.012,8638,0.40973
GBPJPY,training,21082,55,60,70,40,427,0.02025,114,0.00541,12301,0.58348
GBPJPY,training,21082,55,60,75,45,427,0.02025,29,0.00138,15675,0.74353
GBPJPY,training,21082,55,60,80,50,427,0.02025,5,0.00024,18355,0.87065
GBPJPY,training,21082,60,50,65,35,172,0.00816,253,0.012,8638,0.40973
GBPJPY,training,21082,60,50,70,40,172,0.00816,114,0.00541,12301,0.58348
GBPJPY,training,21082,60,50,75,45,172,0.00816,29,0.00138,15675,0.74353
GBPJPY,training,21082,60,50,80,50,172,0.00816,5,0.00024,18355,0.87065
GBPJPY,training,21082,60,55,65,35,171,0.00811,253,0.012,8638,0.40973
GBPJPY,training,21082,60,55,70,40,171,0.00811,114,0.00541,12301,0.58348
GBPJPY,training,21082,60,55,75,45,171,0.00811,29,0.00138,15675,0.74353
GBPJPY,training,21082,60,55,80,50,171,0.00811,5,0.00024,18355,0.87065
GBPJPY,training,21082,60,60,65,35,170,0.00806,253,0.012,8638,0.40973
GBPJPY,training,21082,60,60,70,40,170,0.00806,114,0.00541,12301,0.58348
GBPJPY,training,21082,60,60,75,45,170,0.00806,29,0.00138,15675,0.74353
GBPJPY,training,21082,60,60,80,50,170,0.00806,5,0.00024,18355,0.87065
GBPJPY,training,21082,65,50,65,35,66,0.00313,253,0.012,8638,0.40973
GBPJPY,training,21082,65,50,70,40,66,0.00313,114,0.00541,12301,0.58348
GBPJPY,training,21082,65,50,75,45,66,0.00313,29,0.00138,15675,0.74353
GBPJPY,training,21082,65,50,80,50,66,0.00313,5,0.00024,18355,0.87065
GBPJPY,training,21082,65,55,65,35,65,0.00308,253,0.012,8638,0.40973
GBPJPY,training,21082,65,55,70,40,65,0.00308,114,0.00541,12301,0.58348
